x	y
4510	12329
4511	12601
4512	12872
4513	13144
4514	13416
4514	13688
4515	13960
4516	14232
4517	14504
4518	14775
4519	15047
4520	15319
4521	15591
4521	15863
4522	16135
4746	12192
4983	12327
4747	12464
4984	12599
4748	12736
4985	12871
4749	13008
4986	13143
4750	13279
4987	13415
4751	13551
4987	13686
4751	13823
4988	13958
4752	14095
4989	14230
4753	14367
4990	14502
4754	14639
4991	14774
4755	14911
4992	15046
4756	15182
4993	15318
4757	15454
4994	15589
4757	15726
4994	15861
4758	15998
4995	16133
4759	16270
4996	16405
4760	16542
4997	16677
4761	16813
4998	16949
4762	17085
4999	17220
5002	18308
5003	18580
5004	18851
5011	21026
5012	21298
5013	21570
5013	21842
5014	22113
5015	22385
5016	22657
5017	22929
5018	23201
5019	23473
5019	23745
5020	24016
5021	24288
5219	12191
5456	12326
5220	12462
5457	12598
5221	12734
5458	12869
5222	13006
5459	13141
5223	13278
5460	13413
5224	13550
5460	13685
5224	13822
5461	13957
5225	14093
5462	14229
5226	14365
5463	14501
5227	14637
5464	14772
5228	14909
5465	15044
5229	15181
5466	15316
5230	15453
5467	15588
5230	15725
5467	15860
5231	15996
5468	16132
5232	16268
5469	16403
5233	16540
5470	16675
5234	16812
5471	16947
5235	17084
5472	17219
5236	17356
5473	17491
5237	17627
5473	17763
5237	17899
5474	18034
5238	18171
5475	18306
5239	18443
5476	18578
5240	18715
5477	18850
5241	18987
5478	19122
5242	19258
5479	19394
5243	19530
5480	19665
5243	19802
5480	19937
5244	20074
5481	20209
5245	20346
5482	20481
5246	20618
5483	20753
5247	20889
5484	21025
5248	21161
5485	21296
5249	21433
5486	21568
5250	21705
5486	21840
5250	21977
5487	22112
5251	22249
5488	22384
5252	22520
5489	22656
5253	22792
5490	22928
5254	23064
5491	23199
5255	23336
5492	23471
5256	23608
5492	23743
5256	23880
5493	24015
5257	24152
5494	24287
5258	24423
5495	24559
5500	26190
5501	26461
5265	26598
5502	26733
5266	26870
5503	27005
5267	27142
5504	27277
5268	27414
5505	27549
5269	27685
5505	27821
5269	27957
5506	28092
5270	28229
5507	28364
5271	28501
5508	28636
5272	28773
5509	28908
5273	29045
5510	29180
5274	29316
5511	29452
5692	12189
5929	12324
5693	12461
5930	12596
5694	12733
5931	12868
5695	13005
5932	13140
5696	13276
5933	13412
5697	13548
5933	13683
5697	13820
5934	13955
5698	14092
5935	14227
5699	14364
5936	14499
5700	14636
5937	14771
5701	14908
5938	15043
5702	15179
5939	15315
5703	15451
5940	15586
5703	15723
5940	15858
5704	15995
5941	16130
5705	16267
5942	16402
5706	16539
5943	16674
5707	16810
5944	16946
5708	17082
5945	17217
5709	17354
5946	17489
5710	17626
5946	17761
5710	17898
5947	18033
5711	18170
5948	18305
5712	18441
5949	18577
5713	18713
5950	18848
5714	18985
5951	19120
5715	19257
5952	19392
5716	19529
5953	19664
5716	19801
5953	19936
5717	20072
5954	20208
5718	20344
5955	20479
5719	20616
5956	20751
5720	20888
5957	21023
5721	21160
5958	21295
5722	21432
5959	21567
5723	21703
5959	21839
5723	21975
5960	22110
5724	22247
5961	22382
5725	22519
5962	22654
5726	22791
5963	22926
5727	23063
5964	23198
5728	23335
5965	23470
5729	23606
5965	23742
5729	23878
5966	24013
5730	24150
5967	24285
5731	24422
5968	24557
5732	24694
5972	25644
5735	25781
5972	25916
5736	26053
5973	26188
5737	26325
5974	26460
5738	26597
5975	26732
5739	26868
5976	27004
5740	27140
5977	27275
5741	27412
5978	27547
5742	27684
5978	27819
5742	27956
5979	28091
5743	28228
5980	28363
5744	28499
5981	28635
5745	28771
5982	28906
5746	29043
5983	29178
5747	29315
5984	29450
6165	12188
6402	12323
6166	12459
6403	12595
6167	12731
6404	12866
6168	13003
6405	13138
6169	13275
6406	13410
6170	13547
6406	13682
6170	13819
6407	13954
6171	14090
6408	14226
6172	14362
6409	14497
6173	14634
6410	14769
6174	14906
6411	15041
6175	15178
6412	15313
6176	15450
6413	15585
6176	15722
6413	15857
6177	15993
6414	16129
6178	16265
6415	16400
6179	16537
6416	16672
6180	16809
6417	16944
6181	17081
6418	17216
6182	17353
6419	17488
6183	17624
6419	17760
6183	17896
6420	18031
6184	18168
6421	18303
6185	18440
6422	18575
6186	18712
6423	18847
6187	18984
6424	19119
6188	19255
6425	19391
6189	19527
6426	19662
6189	19799
6426	19934
6190	20071
6427	20206
6191	20343
6428	20478
6192	20615
6429	20750
6193	20886
6430	21022
6194	21158
6431	21293
6195	21430
6432	21565
6195	21702
6432	21837
6196	21974
6433	22109
6197	22246
6434	22381
6198	22517
6435	22653
6199	22789
6436	22924
6200	23061
6437	23196
6201	23333
6438	23468
6202	23605
6438	23740
6202	23877
6439	24012
6203	24149
6440	24284
6204	24420
6441	24556
6205	24692
6442	24827
6206	24964
6443	25099
6207	25236
6444	25371
6208	25508
6445	25643
6208	25780
6445	25915
6209	26051
6446	26187
6210	26323
6447	26458
6211	26595
6448	26730
6212	26867
6449	27002
6213	27139
6450	27274
6214	27411
6451	27546
6215	27682
6451	27818
6215	27954
6452	28089
6216	28226
6453	28361
6217	28498
6454	28633
6218	28770
6455	28905
6219	29042
6456	29177
6220	29313
6457	29449
6638	12186
6875	12321
6639	12458
6876	12593
6640	12730
6877	12865
6641	13002
6878	13137
6642	13273
6879	13409
6643	13545
6879	13680
6643	13817
6880	13952
6644	14089
6881	14224
6645	14361
6882	14496
6646	14633
6883	14768
6647	14904
6884	15040
6648	15176
6885	15312
6649	15448
6886	15583
6649	15720
6886	15855
6650	15992
6887	16127
6651	16264
6888	16399
6652	16536
6889	16671
6653	16807
6890	16943
6654	17079
6891	17214
6655	17351
6892	17486
6656	17623
6892	17758
6656	17895
6893	18030
6657	18167
6894	18302
6658	18438
6895	18574
6659	18710
6896	18845
6660	18982
6897	19117
6661	19254
6898	19389
6662	19526
6899	19661
6662	19798
6899	19933
6663	20069
6900	20205
6664	20341
6901	20476
6665	20613
6902	20748
6666	20885
6903	21020
6667	21157
6904	21292
6668	21429
6905	21564
6668	21700
6905	21836
6669	21972
6906	22107
6670	22244
6907	22379
6671	22516
6908	22651
6672	22788
6909	22923
6673	23060
6910	23195
6674	23332
6911	23467
6675	23603
6911	23739
6675	23875
6912	24010
6676	24147
6913	24282
6677	24419
6914	24554
6678	24691
6915	24826
6679	24963
6916	25098
6680	25234
6917	25370
6681	25506
6918	25641
6681	25778
6918	25913
6919	26185
6683	26322
6920	26457
6684	26594
6921	26729
6685	26865
6922	27001
6686	27137
6923	27272
6687	27409
6924	27544
6688	27681
6924	27816
6688	27953
6925	28088
6689	28225
6926	28360
6690	28496
6927	28632
6691	28768
6928	28903
6692	29040
6929	29175
6693	29312
6930	29447
7111	12185
7348	12320
7112	12456
7349	12592
7113	12728
7350	12863
7114	13000
7351	13135
7115	13272
7352	13407
7116	13544
7352	13679
7116	13816
7353	13951
7117	14087
7354	14223
7118	14359
7355	14494
7119	14631
7356	14766
7120	14903
7357	15038
7121	15175
7358	15310
7122	15447
7359	15582
7122	15719
7359	15854
7123	15990
7360	16126
7124	16262
7361	16397
7125	16534
7362	16669
7126	16806
7363	16941
7127	17078
7364	17213
7128	17350
7365	17485
7129	17621
7365	17757
7129	17893
7366	18028
7130	18165
7367	18300
7131	18437
7368	18572
7132	18709
7369	18844
7133	18981
7370	19116
7134	19252
7371	19388
7135	19524
7372	19659
7135	19796
7372	19931
7136	20068
7373	20203
7137	20340
7374	20475
7138	20612
7375	20747
7139	20883
7376	21019
7140	21155
7377	21290
7141	21427
7378	21562
7141	21699
7378	21834
7142	21971
7379	22106
7143	22243
7380	22378
7144	22514
7381	22650
7145	22786
7382	22921
7146	23058
7383	23193
7147	23330
7384	23465
7148	23602
7384	23737
7148	23874
7385	24009
7149	24146
7386	24281
7150	24417
7387	24553
7151	24689
7388	24824
7152	24961
7389	25096
7153	25233
7390	25368
7154	25505
7391	25640
7154	25777
7391	25912
7155	26048
7392	26184
7156	26320
7393	26455
7157	26592
7394	26727
7158	26864
7395	26999
7159	27136
7396	27271
7160	27408
7397	27543
7161	27679
7397	27815
7161	27951
7398	28086
7162	28223
7399	28358
7163	28495
7400	28630
7164	28767
7401	28902
7165	29039
7402	29174
7166	29310
7403	29446
7584	12183
7821	12318
7585	12455
7822	12590
7586	12727
7823	12862
7587	12999
7824	13134
7588	13270
7825	13406
7589	13542
7825	13677
7589	13814
7826	13949
7590	14086
7827	14221
7591	14358
7828	14493
7592	14630
7829	14765
7593	14901
7830	15037
7594	15173
7831	15308
7595	15445
7832	15580
7595	15717
7832	15852
7596	15989
7833	16124
7597	16261
7834	16396
7598	16533
7835	16668
7599	16804
7836	16940
7600	17076
7837	17211
7601	17348
7838	17483
7602	17620
7838	17755
7602	17892
7839	18027
7603	18164
7840	18299
7604	18435
7841	18571
7605	18707
7842	18842
7606	18979
7843	19114
7607	19251
7844	19386
7608	19523
7845	19658
7608	19795
7845	19930
7609	20066
7846	20202
7610	20338
7847	20473
7611	20610
7848	20745
7612	20882
7849	21017
7613	21154
7850	21289
7614	21426
7851	21561
7614	21697
7851	21833
7615	21969
7852	22104
7616	22241
7853	22376
7617	22513
7854	22648
7618	22785
7855	22920
7619	23057
7856	23192
7620	23328
7857	23464
7621	23600
7857	23735
7621	23872
7858	24007
7622	24144
7859	24279
7623	24416
7860	24551
7624	24688
7861	24823
7625	24960
7862	25095
7626	25231
7863	25367
7627	25503
7864	25638
7627	25775
7864	25910
7628	26047
7865	26182
7629	26319
7866	26454
7630	26591
7867	26726
7631	26862
7868	26998
7632	27134
7869	27269
7633	27406
7870	27541
7634	27678
7870	27813
7634	27950
7871	28085
7635	28222
7872	28357
7636	28493
7873	28629
7637	28765
7874	28900
7638	29037
7875	29172
7639	29309
7876	29444
8057	12182
8294	12317
8058	12453
8295	12589
8059	12725
8296	12860
8060	12997
8297	13132
8061	13269
8298	13404
8062	13541
8298	13676
8062	13813
8299	13948
8063	14084
8300	14220
8064	14356
8301	14491
8065	14628
8302	14763
8066	14900
8303	15035
8067	15172
8304	15307
8068	15444
8305	15579
8068	15716
8305	15851
8069	15987
8306	16123
8070	16259
8307	16394
8071	16531
8308	16666
8072	16803
8309	16938
8073	17075
8310	17210
8074	17347
8311	17482
8075	17618
8311	17754
8075	17890
8312	18025
8076	18162
8313	18297
8077	18434
8314	18569
8078	18706
8315	18841
8079	18978
8316	19113
8080	19249
8317	19385
8081	19521
8318	19656
8081	19793
8318	19928
8082	20065
8319	20200
8083	20337
8320	20472
8084	20609
8321	20744
8085	20880
8322	21016
8086	21152
8323	21287
8087	21424
8324	21559
8087	21696
8324	21831
8088	21968
8325	22103
8089	22240
8326	22375
8090	22511
8327	22647
8091	22783
8328	22918
8092	23055
8329	23190
8093	23327
8330	23462
8094	23599
8330	23734
8094	23871
8331	24006
8095	24143
8332	24278
8096	24414
8333	24550
8097	24686
8334	24821
8098	24958
8335	25093
8099	25230
8336	25365
8100	25502
8337	25637
8100	25774
8337	25909
8101	26045
8338	26181
8102	26317
8339	26452
8103	26589
8340	26724
8104	26861
8341	26996
8105	27133
8342	27268
8106	27405
8343	27540
8107	27676
8343	27812
8107	27948
8344	28083
8108	28220
8345	28355
8109	28492
8346	28627
8110	28764
8347	28899
8111	29036
8348	29171
8112	29307
8349	29443
8530	12180
8767	12315
8531	12452
8768	12587
8532	12724
8769	12859
8533	12996
8770	13131
8534	13267
8771	13403
8535	13539
8771	13674
8535	13811
8772	13946
8536	14083
8773	14218
8537	14355
8774	14490
8538	14627
8775	14762
8539	14898
8776	15034
8540	15170
8777	15305
8541	15442
8778	15577
8541	15714
8778	15849
8542	15986
8779	16121
8543	16258
8780	16393
8544	16530
8781	16665
8545	16801
8782	16937
8546	17073
8783	17208
8547	17345
8784	17480
8548	17617
8784	17752
8548	17889
8785	18024
8549	18161
